"ISO3","GDP_USD_Mean","Population_Mean","Health_Exp_Percent_Mean","Polity_Score_Mean","Inactivity_Adolescents_Mean","GDP_per_Capita_Mean","Health_Exp_USD_Mean","Log_Pop_Mean","Log_GDP_Cap_Mean","Is_Host_2024"
"ABW",3084102485.01206,108078.727272727,NA,NA,NA,28524.8296290905,NA,11.5905911883981,10.2532189190666,0
"AFE",1022865405421.22,677675316.181818,5.91101111483723,NA,NA,1508.33785379903,88.6575236278763,20.3306646725671,7.31669215577341,0
"AFG",17921944927.3079,37760316.3636364,14.8048462333333,-1,88.0366666666667,486.441870932546,69.6338226463634,17.4433266203393,6.17187359622191,0
"AFW",792815307249.887,463641734.363636,3.77502555312369,NA,NA,1720.97268250265,67.259288340474,19.9515811932106,7.44264060775505,0
"AGO",80722017162.2442,32423964.3636364,2.76799477555556,-2,NA,2539.15199206816,70.6255645038827,17.2888870790763,7.78665261814184,0
"ALB",16726697855.6936,2829793.18181818,6.75930431,9,74.04,5946.32601774016,352.40449635675,14.855510372653,8.64940006983415,0
"AND",3250280148.62246,76521.2727272727,7.49504981,NA,NA,42383.8143365283,3123.21175655439,11.2444164831573,10.6515522250618,0
"ARB",3017980295248.45,445384816.909091,5.01010236007803,NA,NA,6754.17475193828,327.929423153371,19.9124163172101,8.81278874150758,0
"ARE",427980465959.527,9447943.81818182,4.35679745555556,-8,82,45215.9936212848,1916.84141821425,16.0579061364519,10.7149504481908,0
"ARG",552658262100.319,44678667.9090909,10.0874038266667,8.8,84.8366666666667,12373.5449047843,1209.55962577892,17.6148230634279,9.41084925300661,0
"ARM",15110920568.2679,2982945.45454545,10.7245744066667,5.4,77.85,5063.9035504998,466.297873509617,14.9083907018949,8.47965301494282,0
"ASM",691888888.888889,50264.1818181818,NA,NA,NA,13626.8701905163,NA,10.8241809965178,9.51126865992775,0
"ATG",1667232659.93266,91365.8181818182,5.20658646777778,NA,79.38,18213.2608315867,894.897446639247,11.422482212135,9.80084583758675,0
"AUS",1475342993144.41,25234536.8181818,10.1641939988889,10,88.89,58352.8845753614,5784.11184060279,17.0427564096333,10.9702722483656,0
"AUT",449295226647.259,8878953.18181818,10.781202793,10,77.8666666666667,50540.3705172109,5391.4690634532,15.9989734570774,10.8274318217431,0
"AZE",56855144152.8865,9953614,4.32834225333333,-7,NA,5708.19905100818,228.348355573461,16.113208976276,8.61735558205782,0
"BDI",2725230440.0142,12304473.6363636,7.99642139,0.4,NA,223.578383747763,18.5610674934227,16.3217802280735,5.39865836739584,0
"BEL",553148064118.328,11506831.1818182,10.8549510111111,8,83.4966666666667,48001.3429467627,5034.71142477954,16.2582973228769,10.7742693006231,0
"BEN",15436837287.781,12732295.8181818,2.69464704777778,7,76.2466666666667,1201.79266815879,30.9226020442347,16.3559929474152,7.08410792467722,0
"BFA",16768722912.6617,20926725.3636364,5.80785920888889,4.8,NA,794.276440262936,44.5869020817544,16.8532976051952,6.66936786786631,0
"BGD",339772920633.999,165195770.363636,2.32314398666667,-0.4,66.5166666666667,2042.44335477642,44.8196096703147,18.9222243219119,7.58295945366597,0
"BGR",74173841060.1917,6681544,7.69131687111111,9,73.49,11194.612977184,772.986117823174,15.7143391840036,9.28244990228928,0
"BHR",39587736943.9072,1478505.81818182,4.43317339222222,-10,81.07,26695.8449046113,1147.46694879956,14.2051032235116,10.1885194079347,0
"BHS",12800163636.3636,393097.545454545,6.33859655777778,NA,84.4,32529.3015074129,1970.16094769306,12.8817075933347,10.3834752588956,0
"BIH",21431110253.4624,3346906.54545455,9.14994918,NA,NA,6455.79795691609,542.463226883816,15.0227635634932,8.74954159272533,0
"BLR",65038110319.2225,9356283.63636364,6.01584397444444,-7,NA,6961.10272042527,404.223804821491,16.051477846141,8.8357628989847,0
"BLZ",2492007575.35553,384207.909090909,4.80422899333333,NA,80.39,6456.9988456346,293.187178301329,12.8574332239484,8.76519270192866,0
"BMU",7397402000,64097.3636363636,NA,NA,NA,115345.595806334,NA,11.068125925105,11.6513066428725,0
"BOL",39497914412.5773,11641476.4545455,7.09733051666667,7,85.46,3381.8594074337,233.586742699377,16.2692073282655,8.12209677390768,0
"BRA",1943355356010.42,206809253.727273,9.26975059444444,8,83.6533333333333,9404.04083915812,848.648177832372,19.1471380620425,9.13940119708589,0
"BRB",5773360345.45455,280908.272727273,6.81469472222222,NA,81.8633333333333,20546.1987820614,1334.71428175899,12.545771210121,9.92518392086903,0
"BRN",13985883988.2253,441450.272727273,2.24183328777778,NA,87.13,31685.149537727,694.110021524672,12.9972681565293,10.3557952774084,0
"BTN",2568866635.95074,764073.818181818,3.468977,5.4,84.0366666666667,3368.12405810135,115.233515682694,13.546139907382,8.11784220561809,0
"BWA",16980918910.3455,2337879.45454545,6.07787100666667,8,87.4666666666667,7243.55740280702,433.016822855849,14.6636599469398,8.88397275727496,0
"CAF",2223923841.1521,4936628.54545455,7.61770809888889,3.6,NA,448.617941860965,33.9048421157583,15.411198878482,6.10111608046128,0
"CAN",1844694628805.14,37732916,11.29524889,10,76.3933333333333,48734.0927448771,5441.39692101171,17.4449787184859,10.7892267431035,0
"CEB",1744674674775.33,101536077.363636,6.81230168573947,NA,NA,17222.212234959,1082.03369904102,18.4358565436182,9.73154882186249,0
"CHE",769772436786.645,8584348,11.4096115955556,10,85.6333333333333,89503.3576267819,9898.82571098316,15.9650425323538,11.3989341888422,0
"CHI",10344945543.0391,165543.454545455,NA,NA,NA,62557.5558498359,NA,12.0169343838824,11.0398184710112,0
"CHL",285275686650.619,18966585.8181818,9.182278013,10,87.58,15013.885977366,1367.64614344188,16.7575970831208,9.61318288536203,0
"CHN",14835081973686.2,1400140909.09091,5.18072620888889,-7,84.3466666666667,10578.121842911,522.307184250844,21.0597909489737,9.24753389529045,0
"CIV",62489570256.9593,28200342.4545455,3.42527325888889,4,NA,2194.47853163913,72.1016901898635,17.1514010291433,7.68592741584049,0
"CMR",40806502889.6053,25543096.8181818,4.0653913,-5,NA,1590.92845544014,63.3132475424706,17.0520775954741,7.36979271995431,0
"COD",50538905307.1009,93279596.9090909,3.76264574777778,0.2,NA,534.464841025314,19.1490922114045,18.345633012621,6.27109085465442,0
"COG",14092991239.1524,5631155.54545455,2.57730531777778,-4,NA,2510.8183933679,63.1963349651444,15.54092018661,7.81693720078161,0
"COL",331444497911.474,49709094.3636364,7.83210392,7,83.9633333333333,6665.65364081316,509.902711146137,17.7207831485994,8.7980096349612,0
"COM",1215456187.79284,787845.727272727,5.61780399777778,6.6,NA,1537.23339599513,84.3810868749635,13.5751268114826,7.33433963102138,0
"CPV",2138437265.9977,515996.636363636,5.35730770111111,10,NA,4140.60058807765,211.117276686359,13.1538226937897,8.32040235283371,0
"CRI",66646141508.4043,4975837.36363636,7.41619645111111,10,82.1066666666667,13354.2284638002,916.859024908172,15.4198318198764,9.48747817604077,0
"CSS",66389752354.3816,4423067.72727273,5.97091969417823,NA,NA,14986.4122421555,838.718286785013,15.3021719048267,9.60409945557564,0
"CUB",95262770521.6519,11169300.0909091,12.0898823222222,-6.6,NA,8477.82515245623,1005.90614211912,16.2286366658848,9.04061329829294,0
"CUW",2987932066.33252,156319.727272727,NA,NA,NA,19110.6579697808,NA,11.9594762204488,9.85587403367616,0
"CYM",5627435649.7426,67325.7272727273,NA,NA,NA,84092.945692561,NA,11.1150576017278,11.3364934085115,0
"CYP",26923832138.9612,1284025.63636364,7.55532174555556,10,NA,20858.791846016,1508.7723308653,14.0647600194507,9.93419852707143,0
"CZE",260062421450.078,10650538.9090909,8.068452121,9,77.4566666666667,24377.7355259982,1931.29052052839,16.1810570700764,10.0833166063682,0
"DEU",4030648326507.15,82840121.1818182,11.796855068,10,83.68,48630.9650754977,5664.53978425016,18.2323707611651,10.788471999791,0
"DJI",3101653061.92393,1087392.09090909,2.68310772,3,85.3,2833.9484058204,71.8819831751463,13.8981239919709,7.94013028148234,0
"DMA",606101346.801347,68114.0909090909,5.68035470111111,NA,84.0766666666667,8908.5519148046,490.430415191015,11.1287268987654,9.09095004955631,0
"DNK",363780264610.743,5813011.27272727,10.161279296,10,84.4233333333333,62497.8548080002,6248.64347236514,15.5754604239196,11.0382405339619,0
"DOM",90759919608.6895,10887823.4545455,4.59839328111111,7.4,NA,8291.74524386212,355.514359297485,16.2026246557008,9.007605129972,0
"DZA",206644039514.175,43165751.5454545,5.54673075666667,2,83.8133333333333,4787.81192987002,256.972190164909,17.5789728471425,8.46491739059322,0
"EAP",17674939867546.4,2102798048.54545,4.95630162835313,NA,NA,8383.30799039755,397.656148534157,21.4664100960974,9.01811985177136,0
"EAR",12369517323968.1,3352371032.27273,4.89630769180433,NA,NA,3676.21209829179,171.755907306965,21.9322124387502,8.20326548775039,0
"EAS",27225091207750.7,2349110720.81818,6.62825238318253,NA,NA,11570.3858505057,743.437316220707,21.5771972550183,9.34879705829506,0
"ECA",1693960728156.97,246731283.727273,4.98765648582935,NA,NA,6860.33578912051,316.645938448612,19.3236401939263,8.81996313423454,0
"ECS",23942276376127.7,918856456.727273,9.59249829672699,NA,NA,26041.9344711003,2403.83929066664,20.6386044271338,10.1620394760778,0
"ECU",107467441972.727,17193050.1818182,7.74281946888889,5,86.51,6245.0003014874,472.810233821139,16.6592131811326,8.73768216332652,0
"EGY",351568839708.71,107242391.454545,4.78590075111111,-4,87.4633333333333,3265.53054573849,154.078407958525,18.4890684622268,8.07865135398883,0
"EMU",13887505448020.8,346456925.363636,10.4922788365117,NA,NA,40060.9804027976,4073.1868692674,19.6632389903172,10.5940347054465,0
"ESP",1411516535684.49,47232483,9.44650607777778,10,76.7833333333333,29847.8011727583,2724.87672095361,17.6704590295648,10.2999535695038,0
"EST",32450178462.1335,1333051.54545455,6.87288697555556,9,84.0066666666667,24282.1393310952,1580.38042247475,14.1028666346916,10.0807968269142,0
"ETH",89127037615.9588,116087357.090909,3.44426290111111,-2.2,NA,779.741358253473,26.4371452848319,18.5662735041425,6.64235707258858,0
"EUU",16200769618641.6,446396833.909091,10.1916731792546,NA,NA,36278.0227132622,3567.15870020785,19.9167077657449,10.4938274731196,0
"FCS",1752575692661.23,974196353.454545,4.66702481155335,NA,NA,1805.87928189437,85.5546537094214,20.6947981842614,7.49330280753574,0
"FIN",270860014737.732,5529952.90909091,9.47484684,10,75.6366666666667,48960.1214606523,4556.40764383587,15.5256537473157,10.7961466073884,0
"FJI",5076246550.17725,919108.363636364,4.148711539,2,83.34,5521.86658444953,222.941009805034,13.7311504007299,8.61234031975548,0
"FRA",2771994362432.77,67395999.4545455,11.5980539322222,10,86.94,41109.7738974694,4659.77899621323,18.0260424943831,10.6214291670201,1
"FRO",3214681102.58938,51701.7272727273,NA,NA,NA,62356.7250861702,NA,10.8523717926657,11.0369644816475,0
"FSM",381960410.477077,110573,12.0146624255556,NA,NA,3449.29866947255,396.566843789592,11.6133322499685,8.13959966464317,0
"GAB",17402979688.3656,2264578.81818182,2.84124324111111,3,NA,7672.66637409739,213.641280263429,14.6298567429872,8.94026169024421,0
"GBR",3004769227888.89,66659181.8181818,10.470461082,8.8,79.9533333333333,45033.5640721728,4641.66811738132,18.014906806139,10.7118490897163,0
"GEO",20459172377.0959,3716370,7.48265865111111,7,NA,5510.55384031447,358.13549168109,15.1282500342741,8.57502485115384,0
"GHA",67551890877.1338,31251840,3.59055532555556,8,87.4366666666667,2149.05991103299,74.914755331241,17.2555097903738,7.66749857549407,0
"GIN",14600306902.7294,13066808.0909091,4.36816239333333,4,NA,1091.85942901823,41.2925591674554,16.3824016319734,6.95168608640864,0
"GMB",1819645721.72875,2459776.09090909,3.27731119,-1.4,NA,731.789147922754,22.8294750751972,14.7126723830315,6.58497725999271,0
"GNB",1613145380.33465,1968974.90909091,8.13214392111111,6,NA,811.448682953007,62.947592893368,14.4903013038813,6.68936723855189,0
"GNQ",13068589464.5574,1657254.18181818,2.89168972444444,-6,NA,8046.2431051974,227.38870839411,14.3161743151326,8.95744651802841,0
"GRC",215613847273.159,10654317.3636364,8.46918937888889,10,84.41,20261.9596290995,1642.72677857743,16.1813514734687,9.91094715734902,0
"GRD",1144472221.54882,115934.363636364,4.84973881111111,NA,84.3133333333333,9864.09921982441,459.983472104768,11.660744196283,9.19050207786613,0
"GRL",2981510704.08508,56399.7272727273,NA,NA,NA,52890.604878449,NA,10.9402067185924,10.8727407000403,0
"GTM",80511862085.0069,17070374.7272727,6.36207554111111,8,86.8666666666667,4680.90941187808,282.003077109914,16.651610044197,8.43908675827218,0
"GUM",6087666666.66667,164359.272727273,NA,NA,NA,37181.9309367296,NA,12.0097531204817,10.5218534968341,0
"GUY",8871379983.9256,795118,4.38490202777778,6.8,84.0166666666667,10956.7513798229,327.517380684254,13.5856371472143,9.10609693839803,0
"HIC",58785967470338.6,1387590227.54545,12.4121225407001,NA,NA,42317.2286614277,5059.7639235028,21.0507600411616,10.6474375507554,0
"HKG",349866802961.841,7410136.36363636,NA,NA,NA,47174.2608712465,NA,15.8182748692995,10.7583746346184,0
"HND",26264739298.3245,9941248.18181818,7.90036386888889,7,83.86,2621.66831480609,195.292416742916,16.1106325177952,7.8605864335523,0
"HPC",844967274864.281,825859136.272727,4.81805527802562,NA,NA,1015.99660576019,47.2702292426577,20.5281291626438,6.91957703055475,0
"HRV",65243898457.9336,3983143.27272727,6.98238844444444,9,76.93,16462.0645277449,1055.76290932612,15.1971372454583,9.68748941380535,0
"HTI",17390275740.5074,11089564.3636364,4.03589201,3,NA,1560.7534157066,59.2243057036916,16.2207208059819,7.34058198823764,0
"HUN",165548001987.593,9689092.45454546,6.821189358,10,79.51,17111.7739447741,1122.03606891323,16.0864747718791,9.72965547148378,0
"IBD",32442551773537,4826630731.27273,5.48632547731298,NA,NA,6702.80516425564,351.142399421515,22.2971500105772,8.80107343913193,0
"IBT",34931784889480.4,6579668645.72727,5.37025137617744,NA,NA,5288.76539910283,272.940670144593,22.6066396837796,8.56612152247173,0
