"ISO3","Year","GDP_USD","Population_Total","Health_Exp_Percent_GDP","Polity_Score","Inactivity_Adolescents_Percent","Is_Host","GDP_per_Capita","Health_Exp_per_Capita_USD","Log_Population","Log_GDP_per_Capita"
"ABW",1960,NA,54922,NA,NA,NA,0,NA,NA,10.9136692758248,NA
"ABW",1961,NA,55578,NA,NA,NA,0,NA,NA,10.9255427184821,NA
"ABW",1962,NA,56320,NA,NA,NA,0,NA,NA,10.9388049908319,NA
"ABW",1963,NA,57002,NA,NA,NA,0,NA,NA,10.9508416339204,NA
"ABW",1964,NA,57619,NA,NA,NA,0,NA,NA,10.9616076534029,NA
"ABW",1965,NA,58190,NA,NA,NA,0,NA,NA,10.9714687976507,NA
"ABW",1966,NA,58694,NA,NA,NA,0,NA,NA,10.9800927859411,NA
"ABW",1967,NA,58990,NA,NA,NA,0,NA,NA,10.9851232169971,NA
"ABW",1968,NA,59069,NA,NA,NA,0,NA,NA,10.9864615310908,NA
"ABW",1969,NA,59052,NA,NA,NA,0,NA,NA,10.986173690654,NA
"ABW",1970,NA,58950,NA,NA,NA,0,NA,NA,10.9844449059655,NA
"ABW",1971,NA,58781,NA,NA,NA,0,NA,NA,10.9815739524175,NA
"ABW",1972,NA,58047,NA,NA,NA,0,NA,NA,10.969008306204,NA
"ABW",1973,NA,58299,NA,NA,NA,0,NA,NA,10.9733402195328,NA
"ABW",1974,NA,58349,NA,NA,NA,0,NA,NA,10.9741974996073,NA
"ABW",1975,NA,58295,NA,NA,NA,0,NA,NA,10.9732716053674,NA
"ABW",1976,NA,58368,NA,NA,NA,0,NA,NA,10.974523073434,NA
"ABW",1977,NA,58580,NA,NA,NA,0,NA,NA,10.9781486203817,NA
"ABW",1978,NA,58776,NA,NA,NA,0,NA,NA,10.9814888873001,NA
"ABW",1979,NA,59191,NA,NA,NA,0,NA,NA,10.9885247822878,NA
"ABW",1980,NA,59909,NA,NA,NA,0,NA,NA,11.0005820232344,NA
"ABW",1981,NA,60563,NA,NA,NA,0,NA,NA,11.011439424533,NA
"ABW",1982,NA,61276,NA,NA,NA,0,NA,NA,11.0231435281326,NA
"ABW",1983,NA,62228,NA,NA,NA,0,NA,NA,11.038560338207,NA
"ABW",1984,NA,62901,NA,NA,NA,0,NA,NA,11.0493173408133,NA
"ABW",1985,NA,61728,NA,NA,NA,0,NA,NA,11.0304929157055,NA
"ABW",1986,405586592.178771,59931,NA,NA,NA,0,6767.55922942669,NA,11.0009491794468,8.81989577348956
"ABW",1987,487709497.206704,59159,NA,NA,NA,0,8244.04566011434,NA,10.9879840133688,9.01724648058239
"ABW",1988,596648044.692737,59331,NA,NA,NA,0,10056.2613927413,NA,10.9908872139901,9.21595074364162
"ABW",1989,695530726.256983,60443,NA,NA,NA,0,11507.2171509849,NA,11.0094560511575,9.35072969585292
"ABW",1990,764804469.273743,62753,NA,NA,NA,0,12187.5363611898,NA,11.0469616646162,9.40816909878389
"ABW",1991,872067039.106145,65896,NA,NA,NA,0,13233.9905169683,NA,11.0958330206211,9.49054383800596
"ABW",1992,958659217.877095,69005,NA,NA,NA,0,13892.6051427736,NA,11.1419342447221,9.53911197343738
"ABW",1993,1083240223.46369,73685,NA,NA,NA,0,14700.9598081521,NA,11.2075545296474,9.5956680637069
"ABW",1994,1245810055.86592,77595,NA,NA,NA,0,16055.2877874337,NA,11.2592582711057,9.68379353146005
"ABW",1995,1320670391.06145,79805,NA,NA,NA,0,16548.7173868987,NA,11.2873414381167,9.71406387852094
"ABW",1996,1379888268.15642,83021,NA,NA,NA,0,16620.9545555512,NA,11.3268488668248,9.71841950090885
"ABW",1997,1531843575.41899,86301,NA,NA,NA,0,17750.0095644198,NA,11.3655964644899,9.78414133374397
